FOODID	FOODNAME
356	SEKAVIHANNES, PORKKANA, KUKKAKAALI, HERNE, PAPU
358	TÄYSMEHU, KASVISTUOREMEHU
359	KIINANKAALI
360	MANGOLDI
362	MUNAKOISO
363	MAISSI, JYVÄT
364	VIHANNESKRASSI
367	KANTARELLI
368	KORVASIENI
369	TILLI, TUORE
370	HERNE, VIHREÄ, TUORE
371	HERNE, VIHREÄ, KUIVATTU
372	PAPU, VIHREÄ TAITEPAPU, TUORE
373	PAPU, RUSKEA TAI VALKOINEN, KUIVATTU, KESKIARVO
375	PÄHKINÄ, HASSELPÄHKINÄ
376	PÄHKINÄ, SAKSANPÄHKINÄ
377	KASTANJA
378	PÄHKINÄ, MAAPÄHKINÄ
379	MANTELI
380	JAUHO, SOIJAJAUHO, RASVAINEN
381	JAUHO, SOIJAJAUHO, VÄHÄRASVAINEN
382	KOOKOSHIUTALE
383	PÄHKINÄ, SUOLAPÄHKINÄ
384	ITU, KESKIARVO, SINIMAILANEN, MUNGOPAPU
385	SEESAMINSIEMEN, KUORINEEN
386	PAPRIKA, PUNAINEN
387	PAPRIKA, VIHREÄ
388	PAPRIKA, KELTAINEN
389	KESÄKURPITSA, ZUCCHINI
390	TÄYSMEHU, TOMAATTIMEHU
391	SOIJAPAPU, KUIVATTU
392	RUOHOSIPULI
393	VALKOSIPULI
394	SALAATTI, KURKKUSALAATTI, KURKKUPIKKELSSI, KURKKURELISSI
395	PAPU, VALKOINEN, KEITETTY
396	PAKASTEKASVISSEKOITUS, HERNE-MAISSI-PAPRIKA
398	TOMAATTIMURSKA
399	LINSSI, VIHREÄ/RUSKEA, KUIVATTU
401	OMENA, KUIVATTU
408	APRIKOOSI, SOKERILIEMESSÄ
409	APRIKOOSI, KUIVATTU
411	PERSIKKA, SOKERILIEMESSÄ
412	PERSIKKA, KUIVATTU
417	ANANAS, SOKERILIEMESSÄ
423	VIINIRYPÄLE, KESKIARVO, KIVETÖN, VIHREÄ/TUMMA
427	SEKAHEDELMÄ, KUIVATTU
428	RUSINA
431	OLIIVI, KESKIARVO, PUNNITTU KIVINEEN, ÖLJYSSÄ, VIHREÄ/MUSTA
432	HEDELMÄSALAATTISÄILYKE, SOKERILIEMESSÄ
433	TÄYSMEHU, OMENATÄYSMEHU, C-VITAMIINIA
434	TÄYSMEHU, APPELSIINITÄYSMEHU, C-VITAMIINIA
435	TÄYSMEHU, GREIPPITÄYSMEHU, C-VITAMIINIA
436	TÄYSMEHU, C-VITAMIINIA, KESKIARVO
437	TÄYSMEHU, SITRUUNATÄYSMEHU, LAIMENNETTU
438	TÄYSMEHU, ANANASTÄYSMEHU, C-VITAMIINIA
440	PUOLUKKA
441	KARPALO
442	MUSTIKKA, METSÄMUSTIKKA
444	MUSTAHERUKKA
445	PUNAHERUKKA
446	KARVIAINEN
447	MANSIKKA
448	VADELMA
449	LAKKA, SUOMUURAIN, HILLA
450	MARJAHILLO, KESKIARVO
451	MEHU, HÖYRYMEHU, LAIMENTAMATON, SOKEROITU
452	MEHU, HÖYRYMEHU, MUSTAHERUKKA, LAIMENTAMATON, SOKEROITU
453	MEHU, HÖYRYMEHU LAIMENTAMATON, SOKERITON
454	MARJA, KESKIARVO
455	TYRNIMARJA
456	MARMELADI, MARJOISTA
457	PIHLAJANMARJA
458	MEHU, MUSTAHERUKKA-PUOLUKKAMEHUJUOMA
459	MEHU, MEHUJUOMA, PUOLUKKA, LAIMENTAMATON
461	MEHU, HÖYRYMEHU LAIMENNETTU, SOKEROITU
462	MEHU, HÖYRYMEHU, MUSTAHERUKKA, LAIMENNETTU, SOKEROITU
463	MEHU, HÖYRYMEHU LAIMENNETTU, SOKERITON
469	TÄYSMEHU, VIIDEN HEDELMÄN MEHU, C-VITAMIINIA
471	ANANAS, OMASSA LIEMESSÄÄN
472	OMENASOSE, MAKEUTTAMATON
473	MEHU, NEKTARI, HEDELMÄJUOMA, HEDELMÄPITOISUUS 50 %
474	TÄYSMEHU, MARJATÄYSMEHU
476	HILLO, FRUKTOOSILLA MAKEUTETTU
477	MELONI, VERKKOMELONI/CANTALOUPEMELONI, KUORITTU
478	MARJAJUOMA, NEKTARI, MARJAPITOISUUS 50 %
500	VOI
501	(ARC) RASVASEOS 80 %
516	LEIVONTAMARGARIINI 80 %, SUNNUNTAI, VL
528	(ARC) SYVÄPAISTORASVA 100 %, UPPOPAISTORASVA
529	TEOLLISUUSMARGARIINI 80 %, KAULINTAMARGARIINI
530	LEIPOMOTEOLLISUUSMARGARIINI 80 %, LEIVONTA
531	RUOKAÖLJY TEOLLISUUSKÄYTTÖÖN, 70 % RYPSIÖLJYÄ, 30 % PALMUÖLJYÄ
535	RYPSIÖLJY
536	OLIIVIÖLJY
537	MAAPÄHKINÄÖLJY
540	AURINGONKUKKAÖLJY
541	RUOKAÖLJY KESKIARVO, 87 % RYPSI- 8 % AURINGONKUKKA- JA 5% OLIIVIÖLJY
542	SOIJAÖLJY
543	MAISSIÖLJY
550	PAISTINRASVA, LAARDI
552	KOOKOSRASVA 100 %
553	TALI, RAAKA NAUDANRASVA
562	MAJONEESI, HAMPURILAISKASTIKE, RASVAA 60 %
563	SALAATINKASTIKE, RANSKALAINEN, SISÄLTÄÄ SINAPPIA
565	RASVASEOS 40 %, KEVYT LEVI, VÄHEMMÄN SUOLAA, VL
568	MARGARIINI 60 %, RAINBOW/PIRKKA/ELDORADO/K-MENU
570	RASVASEOS 40 %, KEVYT LEVI, VL
572	(ARC) MARGARIINI 40%, LÄTTA
576	VOI, SUOLATON
578	MAJONEESI, RASVAA 27-33 %
579	SALAATINKASTIKE, RASVAA <17 %, VÄHÄRASVAINEN
585	VOI, VOIMAKASSUOLAINEN
586	(ARC) RASVASEOS 80 %, VOIMAKASSUOLAINEN
593	LEIVONTAMARGARIINI 80 %, PIRKKA/RAINBOW
597	RASVASEOSLEVITE 75 %, TUOTEKESKIARVO
598	VOIÖLJY 100 %, MAITORASVAA
599	(ARC) KASVIRASVALEVITE 32%, BENECOL KEVYT
600	MAITO, TILAMAITO, RAAKAMAITO, RASVAA 4,4 %, EI LISÄTTY D-VITAMIINIA
602	TERNIMAITO
604	MAITO, KUTUNMAITO, VUOHENMAITO
606	MAITO, RASVATON, D-VITAMIINIA 1 UG
611	PIIMÄ, TALOUSPIIMÄ, RASVAA 0,8 %
612	PIIMÄ, RASVATON, D-VIT 1 UG
613	PIIMÄ, KIRNUPIIMÄ
615	KERMAVIILI, RASVAA 10-12 %
616	PIIMÄ, ASIDOFILUSPIIMÄ, RASVAA 2,5 %, D-VIT 1 UG, PROBIOOTTEJA
617	VIILI, MAUSTAMATON, RASVAA 3,5 %
618	VIILI, MAUSTAMATON, KEVYTVIILI, RASVAA 2,5 %
