FOODID	FOODNAME
8500	KANANMUNA, PAISTETTU
8501	KANANMUNAN KELTUAINEN, PAISTETTU
8502	KANANMUNAN VALKUAINEN, PAISTETTU
8503	MUNAKAS, RANSKALAINEN, TÄYTTEETÖN
8504	MUNAKAS, JUUSTOMUNAKAS
8505	MUNAKAS, PINAATTIMUNAKAS
8506	MUNAKOKKELI, KEVYTMAITO
8509	MUNAVOI
8510	RAEJUUSTO-MUNAVOI
8512	PINAATTI-MUNALAATIKKO, KEVYTMAITO
8513	KANANMUNA, KEITETTY
8514	MUNAKASRULLA, LOHITÄYTE
8515	MUNAKASRULLA, KINKKUTÄYTE
11001	(ARC)VAALEA JUURIKASVIS, KESKIARVO
11002	(ARC)TUMMANVIHREÄ LEHTIKASVIS, KESKIARVO
11004	MÄTI, KESKIARVO
11005	NELJÄN VILJAN HIUTALE
11006	RUISLEIPÄ, RUISSIHTILEIPÄ, VESI, RUISSIHTI-, HIIVALEIPÄJAUHO
11007	RUUSUNMARJA
11012	MANSIKKAHILLO, KOTITEKOINEN, SOKERIA 54 %
11013	APPELSIINIMARMELADI
11014	PALMUÖLJY
11030	JAUHO, RUISSIHTIJAUHO
11041	HERNEKEITTO, SÄILYKE, LAIMENTAMATON, SIANLIHA
11045	APPELSIINI, KUORITTU
11046	MANDARIINI, KUORITTU
11047	GREIPPI, KUORITTU
11048	SITRUUNA, KUORITTU
11049	BANAANI, KUORITTU
11050	KIIVI, KUORITTU
11051	PERSIKKA/NEKTARIINI, KUORITTU, KIVETÖN
11052	KIRSIKKA, KIVETÖN
11053	LUUMU, KIVETÖN
11054	APRIKOOSI, KESKIARVO, KIVETÖN
11055	VESIMELONI, KUORITTU
11056	ANANAS, KUORITTU
11057	AVOKADO, KUORITTU, KIVETÖN
11059	TONNIKALA, KESKIARVO
11060	OMENA, KOTIMAINEN, KUORITTU
11061	OMENA, ULKOMAINEN, KUORITTU
11062	PÄÄRYNÄ, KUORITTU
11063	LUUMU, KIVETÖN, KUIVATTU
11064	HERKKUSIENI, SÄILYKE
11065	RUUSUNMARJASOSE, SOKERITON
11067	TONNIKALA, VEDESSÄ, SÄILYKE
11068	VANUKAS, MAITOVANUKAS, TEOLLINEN
11069	VIINI, ALKOHOLITON
11070	HERNEKEITTO, SÄILYKE, LAIMENNETTU, SIANLIHA
11071	EKSOOTTINEN HEDELMÄ, KESKIARVO, MANGO/PAPAIJA, KUORITTU
11072	HAPANKURKKU LIEMINEEN, VENÄLÄINEN KURKKU
11074	ITU, SINIMAILASEN ITU
11086	PÄHKINÄ, CASHEWPÄHKINÄ
11087	TAHINI, SEESAMTAHNA, EI LISÄTTYÄ SUOLAA
11089	KIKHERNE SUOLATTOMASSA VEDESSÄ
11090	PAPU, VALKOINEN, TOMAATTIKASTIKE
11092	HERAJAUHE, TEOLLISUUDEN RAAKA-AINE
11094	KARJALANPIIRAKKA, TEOLLINEN, TUMMA, LAKTOOSITON
11095	MUNKKI, VESI, LEIPOMO
11110	KASVISPIHVI/PYÖRYKKÄ, SISÄLTÄÄ SOIJAPROTEIINIA
11120	PULLA, KORVAPUUSTI, LEIPOMO, VESI
11123	PULLA, KESKIRASVAINEN, RASVATON MAITOJAUHE, LEIPOMO
11124	PULLA, RUNSASRASVAINEN, KEVYTMAITO, LEIPOMO
11126	SEKALEIPÄ, VESI, GRAHAM-, RUIS-, VEHNÄJAUHO
11130	TUOREJUUSTO, RASVAA 6-11 %, MAUSTETTU
11131	JUUSTO, VALKOHOME/VALKOSINIHOMEJUUSTO, RASVAA 40 %
11132	(ARC) TUOREJUUSTO, KASVIRASVAA, RASVAA 24-30 %
11133	JUUSTO, PUOLIKOVA JUUSTO, KEVYT, RASVAA 15-18 %
11134	BASILIKA, TUORE
11135	BAMBUNVERSO
11136	KERMA, VISPIKERMA, KEVYT, RASVAA 25 %
11142	MEHUJÄÄ KESKIARVO
11144	SALAATINKASTIKE, KOTITEKOINEN, JOGURTTIA
11145	MAITO, RASVATON, VL, D-VITAMIINIA 1 UG
11146	JUUSTO, LEIPÄJUUSTO, RASVAA 17-23 %, VL
11148	JÄÄTELÖ, KERMAJÄÄTELÖPUIKKO, SUKLAINEN, KESKIARVO
11149	JÄÄTELÖ, MEHUJÄÄ-JÄÄTELÖPUIKKO, KESKIARVO
11150	BROILERI, MARINOITU, ILMAN NAHKAA, RAAKA
11152	KERMAVIILI, RASVAA 10-12 %, VL
11154	VIILI, MAUSTAMATON, KEVYTVIILI, RASVAA 2 %, VL
11155	RAEJUUSTO, RASVAA 2-5 %, VL
11156	RAHKA, MAITORAHKA, MAUSTAMATON, RASVAA <0,5 %, VL
11157	(ARC) JUUSTO, RASVAA 28 %, SISÄLTÄÄ KASVIRASVAA
11158	NUPPUVIHANNES, KUKKAKAALI, PORKKANA, PARSAKAALI
11159	CREME FRAICHE, RANSKANKERMA, RASVAA 15-18 %
11164	JÄLKIRUOKAKASTIKE, VANILLIINIKASTIKE, VISPAUTUVA VANILJAKASTIKE
11165	PIIMÄ, RASVATON, VL, D-VIT 1UG
11172	JÄÄTELÖ, KASVIRASVAJÄÄTELÖPUIKKO, SUKLAAKUORRUTE
11173	JÄÄTELÖ, KASVIRASVAJÄÄTELÖTUUTTI
11177	MUSTAPIPPURI
11178	VALKOPIPPURI
11182	PAPRIKAJAUHE
11184	KANELI
11185	NEILIKKA
11186	INKIVÄÄRI, JAUHETTU
11187	KARDEMUMMA
11188	VANILLIINISOKERI
11191	OREGANO, KUIVATTU
11194	TIMJAMI, KUIVATTU
11196	AROMISUOLA/YRTTISUOLA SUOLAPITOISUUS 71 %
11197	MAUSTEKASTIKE, RUSKEA, HP-KASTIKE
11198	RYPÄLESOKERI, GLUKOOSI
11203	HUNAJAMELONI, KUORITTU
11210	KSYLITOLIPASTILLI, C-VITAMINOITU
11211	JUUSTO, FETAJUUSTO, RASVAA 25 %, VUOHENMAITO, SUOLALIEMESSÄ
11212	AURINGONKUKANSIEMEN, KUORITTU
11287	KASVIRASVALEVITE 28 %, MINI LÄTTA
11469	HEDELMÄSOSE, TEOLLINEN LASTENRUOKA, TUOTEKESKIARVO
11470	MARJASOSE, TEOLLINEN LASTENRUOKA, TUOTEKESKIARVO
11471	PORKKANA-PERUNASOSE, TEOLLINEN LASTENRUOKA, TUOTEKESKIARVO
11472	NAUDANLIHA-KASVISSOSE, TEOLLINEN LASTENRUOKA, TUOTEKESKIARVO
11473	PORSAANLIHA-KASVISSOSE, TEOLLINEN LASTENRUOKA, TUOTEKESKIARVO
11474	KANA-KASVISSOSE KESKIARVO, TEOLLINEN LASTENRUOKA, TUOTEKESKIARVO
11475	KALA-KASVISSOSE, TEOLLINEN LASTENRUOKA, TUOTEKESKIARVO
11476	JAUHELIHAA JA SPAGETTIA, TEOLLINEN LASTENRUOKA, TUOTEKESKIARVO
11503	TÄYSMEHU, RYPÄLETÄYSMEHU
11505	BANAANILASTU, KUIVATTU BANAANI
11507	RIISITÄRKKELYS
11508	SIANLIHA, KEITETTY, SUOLATON
11511	PERUNA, KUORITTU, KEITETTY, SUOLATON
11512	SIANKYLJYS
11513	PORSAANFILEE, SISÄFILEE, RASVAA 4,5 %
11514	PERUNASOSE, VESI, KOTITEKOINEN LASTENRUOKA, SUOLATON
11515	PERUNASOSE, MAITO, KOTITEKOINEN LASTENRUOKA, SUOLATON
11516	PERUNA-PORKKANASOSE, VESI, KOTITEKOINEN LASTENRUOKA, SUOLATON
11517	NAUDANLIHA-PERUNASOSE, KOTITEKOINEN LASTENRUOKA, SUOLATON
11518	PORSAANLIHA-PERUNASOSE, KOTITEKOINEN LASTENRUOKA, SUOLATON
11519	KALA-KASVISSOSE, KOTITEKOINEN LASTENRUOKA, SUOLATON
11520	KANA-KASVISSOSE, KOTITEKOINEN LASTENRUOKA, SUOLATON
11521	RIISI PITKÄJYVÄINEN, PUUROUTUMATON
11522	RUIS-RIISISEOS, RIISI JA RUISROUHE
11523	SALAATTI, PUNAJUURISALAATTI, MAJONEESIKASTIKE
11550	TUOREJUUSTO, RASVAA 30 %, MAUSTETTU, VL
11551	KALKKUNAN RINTAFILEE
11553	HEDELMÄHILLO, KESKIARVO
11557	TÄYSMEHU, SITRUUNATÄYSMEHU, LAIMENTAMATON
11558	TÄYSMEHU, APPELSIINITÄYSMEHU, KALSIUMIA
11562	JAUHELIHA, NAUDAN, RASVAA 17 %
11563	BROILERI, KOIPI-REISI, NAHKOINEEN, RAAKA
11564	BROILERI, RINTALEIKE, NAHKOINEEN
11565	BROILERI, RINTAFILEE, NAHATON, SUIKALE, LEIKE
11568	(ARC) RASVASEOS 60%, D-VITAMIINIA 10 UG
11571	TUOREJUUSTO, RASVAA 11 %, MAUSTAMATON
11572	(ARC) MAITO, RASVATON, LISÄTTY KALSIUMIA, D-VITAMIINIA 0,5 UG
11580	PÄHKINÄVÄLIPALA, MAKEA, PATUKKA/LEVY
11581	(ARC) SOIJAVÄLIPALA, HAPATETTU, MAUSTETTU, RASVAA 1 %, VITAMINOITU
11587	MARJAJUOMA, RUUSUNMARJA, PRO VIVA, KAURAA JA PROBIOOTTEJA
11589	PIPARJUURI
11680	PERUNA, KUORITTU, SUURTALOUSTUOTE, SUOJAKAASUPAKATTU
11685	PAISTOÖLJY, PALMUÖLJY 50 %, PALMUYDINÖLJY 25 %, RYPSIÖLJY 25 %
11687	RIISIJUOMA, MAUSTAMATON
11689	PARSA, RAAKA, PUHDISTETTU
11690	MAJONEESI, VÄHÄRASVAINEN, RASVAA 15 %
11691	MÄTI, KESKIARVO, SUOLATTU
11694	JOGURTTI, MAUSTETTU HILLOLLA, RASVAA 2 %, VL
11695	RYPSIÖLJY, KYLMÄPURISTETTU
11700	SOIJAPROTEIINI KONSENTRAATTI, 58 % PROTEIINIA
11701	PALMUYDINÖLJY
11723	JOGURTTI, MAUSTETTU, RASVAA 3 %
11725	VIILI, MAUSTETTU, RASVAA 2 %
11726	VIILI, MAUSTETTU, RASVAA 1 %, VL
11727	JOGURTTI, MAUSTETTU, RASVAA 2,5 %
11730	SEKALEIPÄ, GRAHAMSÄMPYLÄ, VESI
11733	VAALEA LEIPÄ, VEHNÄSÄMPYLÄ, VESI
11734	SIITAKESIENI
11735	OSTERIVINOKAS
11736	JOGURTTI, MAUSTAMATON, RASVAA 1,5 %
11739	KASVIRASVALEVITE 35 %, BECEL PRO-ACTIV
28905	JAUHO, TÄYSJYVÄVEHNÄJAUHO
28908	OHRASUURIMO, KEITETTY, SUOLAA
28909	MAKARONI, RUISMAKARONI
28910	RIISI TUMMA
28911	RIISI, TUMMA, KEITETTY, SUOLAA
28912	MAKARONI, RUISMAKARONI, KEITETTY, SUOLAA
28913	PERUNA, PUNNITTU KUORINEEN
28914	PERUNA, KUORINEEN, KEITETTY, SUOLAA
28915	MELONI, VERKKO/CANTALOUPEMELONI, PUNNITTU KUORINEEN
28916	OMENA, KESKIARVO, PUNNITTU KUORINEEN
28917	PÄÄRYNÄ, PUNNITTU KUORINEEN
28918	LUUMU, TUMMA, PUNNITTU KIVINEEN
28919	LUUMU, TUMMA, KUIVATTU, PUNNITTU KIVINEEN
28920	KIRSIKKA, PUNNITTU KIVINEEN
28921	APRIKOOSI, KESKIARVO, PUNNITTU KIVINEEN
28922	PERSIKKA/NEKTARIINI, KESKIARVO, PUNNITTU KIVINEEN
28923	ANANAS, TUORE, PUNNITTU KUORINEEN
28924	APPELSIINI, PUNNITTU KUORINEEN
28925	SITRUUNA, KESKIARVO, PUNNITTU KUORINEEN
28926	GREIPPI, KESKIARVO, PUNNITTU KUORINEEN
28927	MAKKARA, KASVISMAKKARA, SOIJAPITOINEN
28928	VIININLEHTI, SÄILÖTTY SUOLALIEMEEN
28929	JAUHELIHA, LAMPAAN, RASVAA 14 %
28930	JAUHELIHA, BROILERIN
28931	VESIMELONI, PUNNITTU KUORINEEN
28932	VIINIRYPÄLE, KESKIARVO, PUNNITTU KIVINEEN, VIHREÄ/TUMMA
28933	AVOKADO, PUNNITTU KUORINEEN JA KIVINEEN
28934	BANAANI, PUNNITTU KUORINEEN
28935	MANDARIINI, KESKIARVO, PUNNITTU KUORINEEN
28936	VIIKUNA, KUIVATTU, PUNNITTU KANTOINEEN
28937	TAATELI, KUIVATTU, PUNNITTU KIVINEEN
28938	OLIIVI, KESKIARVO, KIVETÖN, ÖLJYSSÄ, VIHREÄ/MUSTA
28939	KIIVI, PUNNITTU KUORINEEN
28941	OMENA, KOTIMAINEN, KUORINEEN
28942	OMENA, ULKOMAINEN, KUORINEEN
28943	MAISSINTÄHKÄ, KOKONAINEN, KEITETTY, EI SUOLAA
28944	HUNAJAMELONI, PUNNITTU KUORINEEN
28945	JAUHELIHA, KALKKUNAN, RASVAA 5-6 %
28946	JAUHELIHA, SIAN, RASVAA 16 %
28947	PEKONI, FILEE, RASVAA 18 %
28948	PORKKANA-RIISIPIIRAKKA, SEKAKUORI, TEOLLINEN
28949	KARJALANPIIRAKKA, VEHNÄKUORI
28950	PERUNARUUSU, DUCHESSE
28951	PERUNAKROKETTI, UPPOPAISTETTU
28952	UUNIPERUNA, ILMAN TÄYTETTÄ KUORINEEN, EI RASVAA, EI SUOLAA
28953	PERUNA, UUSI, KEITETTY, SUOLAA
28954	PERUNA, UUSI, KEITETTY, SUOLATON
28955	PERUNA, KUORINEEN, KEITETTY, SUOLATON
28956	PERUNALAATIKKO, IMELLETTY, KEVYTMAITO
28957	PERUNAMOUSSAKA, SIKA-NAUTA, KEVYTMAITO
28958	MAISSI, MAISSINTÄHKÄ, GRILLATTU
28959	VIININLEHTIKÄÄRYLE, RIISITÄYTE
28961	SOIJA-KASVISKASTIKE, TOMAATTINEN, SOIJAROUHE, SUURUSTAMATON
28962	MAISSINTÄHKÄ, KOKONAINEN
28963	PERUNA-KASVISPATA
28966	KIKHERNEPYÖRYKKÄ, FALAFEL, PAISTETTU
28967	SALAATTI, AURINKOSALAATTI, MAJONEESIKASTIKE
28968	SALAATTI, WALDORFIN SALAATTI, JUURISELLERI-OMENA, MAJONEESIKASTIKE
28969	NUUDELI, KEITETTY, SUOLATON
28970	RIISIPUURO, VESI, RIISI, SUOLAA
28971	DONITSI, SUKLAAKUORRUTUS
28973	DONITSI, SITRUUNAKUORRUTUS
28974	PULLA, KESKIRASVAINEN, VESI
28975	PANNUKAKKU, VESI
28976	RAPARPERI-KAURAHIUTALEPAISTOS
28977	MARENKI
28978	PERUNALAATIKKO, BROILERI-PERUNALAATIKKO, RUOANVALMISTUSKERMA
28979	PERUNALAATIKKO, BROILERI-PERUNALAATIKKO, KASVIRASVAKERMA
28980	PYTTIPANNU, BROILERIPYTTIPANNU, EI KANANMUNAA
28981	BROILERIMUREKE
28982	MAKARONILAATIKKO, LIHA-MAKARONILAATIKKO, SIKA-NAUTA, LIHALIEMI
28983	RIIMILIHA
28984	TARTARPIHVI
28985	MÄTIKASTIKE, RANSKANKERMA
28986	RAPU, KEITETTY
28987	HUMMERI, KEITETTY
28988	SIMPUKKAKASTIKE, MAITOPOHJAINEN
28989	GRAAVILOHI, LOHICARPACCIO, SITRUUNAA JA ÖLJYÄ
28990	VALKOSIPULIETANA
28991	KAHVI, CAFE AU LAIT, MAKEUTTAMATON, TÄYSMAITO
28992	MAITO, TÄYSMAITO, KEITETTY
28993	KAHVI, CAFFE LATTE, MAKEUTTAMATON, TÄYSMAITO
28994	PULLA, KESKIRASVAINEN, VESI, ÖLJY
28996	PULLA, KESKIRASVAINEN, KEVYTMAITO, ÖLJY
28998	PULLA, KESKIRASVAINEN, VESI, VOI
29000	PULLA, KESKIRASVAINEN, KEVYTMAITO, VOI
29002	SEKALEIPÄ, SÄMPYLÄ, VESI, ÖLJY, SÄMPYLÄJAUHO
29003	SEKALEIPÄ, SÄMPYLÄ, RASVATON MAITO, ÖLJY, SÄMPYLÄJAUHO
29005	SEKALEIPÄ, SÄMPYLÄ, VESI, VOI, SÄMPYLÄJAUHO
29006	SEKALEIPÄ, SÄMPYLÄ, KEVYTMAITO, VOI, SÄMPYLÄJAUHO
29007	SEKALEIPÄ, SÄMPYLÄ, TILAMAITO, VOI, SÄMPYLÄJAUHO
29008	KASVISLIEMIKUUTIO
29009	KANALIEMIKUUTIO, SISÄLTÄÄ VEHNÄÄ
29010	KALALIEMIKUUTIO
29011	AHVENET FOLIOSSA, VOISSA
29012	PUNAJUURI-RIISILAATIKKO, KEVYTMAITO
29013	SIMPUKKAKEITTO, KUOHUKERMA
29014	KOOKOSMAITO, KOOKOSJUOMA
29015	PIRTELÖ, MARJA-JOGURTTIJUOMA, JÄÄTELÖÄ
29016	PIRTELÖ, HEDELMÄ-JOGURTTIJUOMA, JÄÄTELÖÄ
29017	JUUSTOFONDUE
29018	JAUHELIHAPIHVI, BROILERI
29019	JAUHELIHAPIHVI, LAMPAANLIHA, PAISTETTU
29020	JAUHELIHAPIHVI, SIANLIHA, PAISTETTU
29021	JAUHELIHAPIHVI, KALKKUNA, PAISTETTU
29022	PAPU, VIHREÄ PAPU, KEITETTY
29023	ATERIASALAATTI, PASTA-MÄTI-KATKARAPUSALAATTI, AVOKADOA, ÖLJYKASTIKE
29024	KALAKEITTO, KOOKOSMAITO, KALA-KOOKOSMAITOKEITTO
29025	SIENI-OHRAKEITTO
29026	KASVISLIEMI, LAIMENNETTU
29027	KURKKUKEITTO, KYLMÄ
29028	MUNAKOISONYYTTI, JUUSTO- JA TOMAATTITÄYTE
29029	RISOTTO, AVOKADO-PESTORISOTTO
29030	KASVISKEITTO, KASVIS-KOOKOSMAITOKEITTO
29031	NUUDELIKEITTO, KASVIKSIA
29032	KASVISGRATIINI, KERMAINEN
29033	JUUSTO-KASVISKEITTO
29034	KASVISSOSEKEITTO, HERNE-PORKKANA-MAISSI, KASVIRASVAKERMA
29035	HERNESOSEKEITTO, VESI, VALKOVIINI
29036	JUURESSOSEKEITTO, KASVIRASVAKERMA
29037	JUURESSOSEKEITTO, VESI
29038	PASTA-VIHANNESKEITTO, VESI
29039	KATKARAPU-PORKKANAKEITTO, KASVIRASVAKERMA
29040	OSTERIKEITTO, KUOHUKERMA
29041	ATERIASALAATTI, TONNIKALASALAATTI, KASVIKSET, EI KASTIKETTA
29042	PERUNALAATIKKO, KINKKU-PERUNALAATIKKO, KASVIRASVAKERMA
29043	PERUNALAATIKKO, JANSSONINKIUSAUS, KASVIRASVAKERMA
29044	MAITOKASTIKE, VALKOKASTIKE, KEVYTMAITO, RASVA-JAUHOSUURUS, VOI
29045	MAITOKASTIKE, VALKOKASTIKE, KEVYTMAITO, RASVA-JAUHOSUURUS, ÖLJY
29046	RUSKEA KASTIKE, RASVA-JAUHOSUURUS, VOI
29047	RUSKEA KASTIKE, RASVA-JAUHOSUURUS, ÖLJY
29048	WOK-KASVIKSET, PORKKANA-HERKKUSIENI-SIPULI-PAPRIKA-HERNE
29049	WOK-KASVIKSET, VIHREÄ PAPU-PORKKANA-PAPRIKA-MAISSI-PALSTERNAKKA
29050	PEKONI, FILEE, RASVAA 18 %, PAISTETTU
29053	VAALEA LEIPÄ, PATONKI, VALKOSIPULI/YRTTIVOI
29054	PAAHTOLEIPÄ, KAURAPAAHTOLEIPÄ, VESI, VEHNÄJAUHO, KAURAHIUTALE
29055	NUUDELI, RIISINUUDELI
29056	NUUDELI, RIISINUUDELI, KEITETTY, SUOLATON
29060	JUUSTO, SALAATTIJUUSTO, RASVAA 12-15 %, LEHMÄNMAITO, SUOLALIEMESSÄ
29064	MAITO, KEVYTMAITO, LAKTOOSITON MAITOJUOMA, D-VITAMIINIA 1 UG
29065	RUOANVALMISTUSKERMA, RASVAA 15 %
29066	KERMA, KUOHUKERMA, RASVAA 35 %
29070	ENERGIAJUOMA, VITAMINOITU
29071	KAAKAOJUOMA, KYLMÄ, RASVATON MAITO, SOKEROITU
29073	SIENI-KASVISMUHENNOS, KASVIRASVAKERMA
29074	HAMPURILAINEN, KASVISHAMPURILAINEN, VEHNÄSÄMPYLÄ
29077	MARJAPIIRAKKA, TUOREJUUSTOTÄYTE, POHJASSA ÖLJY
29078	KEBABLIHA
29079	WOK-KASVIKSET, PAPRIKA-SIPULI-MAISSI-PAPU
29080	KAKKU, JÄÄTELÖKAKKU, KINUSKIKUORRUTUS
29086	KALKKUNA-KASVISWOKKI
29087	SALAATTI, JÄÄVUORISALAATTI-PORKKANA-KESÄKURPITSA
29089	JOGURTTI, JUOTAVA, RASVAA 0,1 %
29090	MAITO, RASVATON, KEITETTY
29091	KAHVI, CAPPUCCINO, MAKEUTTAMATON, RASVATON MAITO
29094	LIHAPATA, NAUDANPAISTI, LIHALIEMI, PORKKANA, VOI
29095	LIHAPATA, NAUDANPAISTI, LIHALIEMI, PORKKANA, ÖLJY
29098	WOK-KASVIKSET, WOKATTU, PAPRIKA-SIPULI-MAISSI-PAPU
29099	WOK-KASVIKSET, WOKATTU, PORKKANA-HERKKUSIENI-SIPULI-PAPRIKA-HERNE
29100	WOK-KASVIKSET, WOKATTU, VIHREÄ PAPU, PORKKANA, PAPRIKA, MAISSI, PALSTERNAKKA
29103	LIHAPULLA, NAUDANPAISTI, PAISTETTU VOISSA
29104	LIHAPULLA, NAUDANPAISTI, PAISTETTU ÖLJYSSÄ
29125	JAUHELIHA, BROILERIN, PAISTETTU
29126	JAUHELIHA, BROILERIN, PAISTETTU ILMAN RASVAA
29128	VIILI, MAUSTAMATON, RASVATON
29130	VOILEIPÄ, LÄMMIN OOPPERALEIPÄ, JAUHELIHAPIHVI, KANANMUNA
29131	VOILEIPÄ, LÄMMIN SIENILEIPÄ
29132	VOILEIPÄ, LÄMMIN JUUSTOLEIPÄ, KANANMUNA
29135	SIIDERI, KUIVA, 4,7 TIL% ALKOHOLIA
29136	SIENI, RYÖPÄTTY
29139	PERUNA, PAISTETTU, VOI
29145	JAUHELIHA, LAMPAAN, PAISTETTU ILMAN RASVAA
29146	JAUHELIHA, LAMPAAN, PAISTETTU
29147	JAUHELIHA, KALKKUNAN, PAISTETTU ILMAN RASVAA
29148	JAUHELIHA, KALKKUNAN, PAISTETTU
29149	ITALIANPATA
29150	MEHU, MEHUJUOMA, PUOLUKKA, LAIMENNETTU
29155	KAAKAORASVA
29156	SUKLAA, VALKOINEN, VALKOSUKLAA
29159	MARGARIINI 40 %, TEOLLINEN TUOTEKESKIARVO
29160	KANANMUNA, KUORINEEN PUNNITTU
29175	JAUHELIHA, NAUDAN, RASVAA 17 %, PAISTETTU ILMAN RASVAA
29180	LIHAKASTIKE, SIANLIHA, VIHANNEKSIA, RUOANVALMISTUSKERMA
29181	SIANLIHASUIKALE, PAISTETTU ÖLJYSSÄ
29182	NAUDANLIHASUIKALE, PAISTETTU ÖLJYSSÄ
29183	LIHAKASTIKE, NAUDANLIHA, VIHANNEKSIA, RUOANVALMISTUSKERMA
29207	SILAKKAFILEE
29208	KUSKUS
29209	KUSKUS, KEITETTY, SUOLAA, ÖLJYÄ
29210	MAITO, KEVYTMAITO, EI LISÄTTY D-VITAMIINIA, LUOMU
29211	MAITO, RASVATON, EI LISÄTTY D-VITAMIINIA, LUOMU
29212	PIIMÄ, RASVATON, EI LISÄTTY D-VITAMIINIA, LUOMU
29215	MEHU, MEHUJUOMA, C-VITAMIINIA
29216	KIISSELI, MEHUKEITTO, 30 MG C-VITAMIINIA
29217	KANGASROUSKU
29219	PINAATTIOHUKAINEN, MAIDOTON
29222	HERNEKEITTO, KASVISHERNEKEITTO
29223	LASAGNE, NAUDANPAISTI
29226	PORONKÄRISTYS, VÄHÄRASVAINEN
29228	JUUSTO, FETAJUUSTO, VUOHENMAITO, ÖLJYSSÄ
29229	PORKKANA, KEITETTY, SUOLATON
29232	SEKALEIPÄ, RIESKA, PERUNA-OHRA, PERUNASOSEJAUHE
29233	MUNKKI, PAISTETTU RYPSIÖLJYSSÄ
29237	LESE, RUISLESE
29238	KEVÄTKÄÄRYLE, KASVISTÄYTE
29239	JUUSTO, MOZZARELLA, RASVAA 20 %, TUOREJUUSTO
29240	KEVÄTKÄÄRYLE, JAUHELIHATÄYTE
29241	RISOTTO, SOIJA-KASVISRISOTTO
29242	KIKHERNE-PERUNAPATA
29247	KALAMUREKE, MAIDOTON
29248	PERUNALAATIKKO, SILAKKALAATIKKO, KEVYTMAITO, EI PEKONIA
29249	PERUNALAATIKKO, SILAKKALAATIKKO, KALALIEMI
29250	KALAKASTIKE, TONNIKALAKASTIKE, TOMAATTINEN
29253	LIHAPULLA, NAUDANPAISTI, UUNISSA PAISTETTU
29254	LINDSTRÖMINPIHVI, NAUDANPAISTI
29255	UUNIKALA, RUOANVALMISTUSKERMA
29256	BROILERIFILEE, JUUSTOTÄYTE, UUNISSA
29257	LASAGNE, BROILERINLIHA
29259	LIHAPULLA, HIRVENLIHA, PAISTETTU VOISSA
29260	VAALEA LEIPÄ, NAANLEIPÄ
29262	LIHAPULLA, HIRVENLIHA, EI KERMAA, PAISTETTU
29263	KIRJOLOHIFILEE, KASVIRASVAKERMA, LEIVITETTY, UUNISSA
29264	LASAGNE, SOIJA-KASVISLASAGNE
29266	KESÄKURPITSA, TÄYTETTY, SOIJA, RIISI
29267	KASVISMINESTRONEKEITTO
29268	KERMAPERUNA, KAHVIKERMA
29269	KERMAPERUNA, KASVIRASVAKERMA
29270	MAKARONILAATIKKO, LIHA-MAKARONILAATIKKO, NAUDANPAISTI, LIHALIEMI
29271	MAKARONILAATIKKO, LIHA-MAKARONILAATIKKO, NAUDANLIHA, LIHALIEMI
29273	MAKARONILAATIKKO, LIHA-MAKARONILAATIKKO, NAUDANPAISTI, KEVYTMAITO,TUMMA MAKARONI
29275	PERUNA-SIPULILAATIKKO, KASVIRASVAKERMA 15 %
29277	PERUNALAATIKKO, JAUHELIHA-PERUNALAATIKKO, NAUDANPAISTI, LIHALIEMI
29279	HAMPURILAINEN, NAUDANLIHAPIHVI JA VEHNÄSÄMPYLÄ
29283	JAUHELIHAPIHVI, NAUDANLIHA, PAISTETTU
29284	NAUDANLIHAPIHVI, PAISTETTU VOISSA
29285	NAUDANLIHALEIKE, LEIVITETTY, PAISTETTU ÖLJYSSÄ
29286	NAUDANLIHALEIKE, LEIVITETTY, PAISTETTU VOISSA
29289	LIHAMUREKE, NAUDANPAISTI, VESI
29293	LIHAPATA, PALAPAISTI, RUOANVALMISTUSRASVA, KESKIARVO
29294	NELJÄNVILJANPUURO, VESI, SUOLAA
29295	KARJALANPIIRAKKA, PERINTEINEN, VOIDELTU VOILLA
29304	SALAATTI, SALAATTIPÖYDÄN ANTIMET, EI KASTIKETTA
29305	HERNEKEITTO, KESKIRASVAINEN NAUDANLIHA
29306	UUNIBANAANI
29307	KAURAPUURO, VESI, KAURALESEITÄ, SUOLAA
29409	MARGARIINI 60 %, BECEL LAKTOOSITON
29410	HERKKUTATTI
29411	HERKKUTATTI, KOKOON KEITETTY
29412	ÄIDINMAIDONKORVIKE, JAUHE, TUOTEKESKIARVO
29413	ÄIDINMAIDONKORVIKE, KÄYTTÖVALMIS, TUOTEKESKIARVO
29495	(ARC)TÄYSMEHU, C-VITAMIINIA, KESKIARVO
29496	MAKARONI, GLUTEENITON
29497	PASTA, GLUTEENITON, TUOTEKESKIARVO, KEITETTY, SUOLATON
29498	RISOTTO, BROILERIRISOTTO
29499	JAUHO, JAUHOSEOS, LUONTAISESTI GLUTEENITON, RIISI-MAISSI-PERUNA
29500	VANUKAS, RIISIVANUKAS, VANILJARIISI
29501	TONIKKI, TONIC VESI
29510	PALSTERNAKKA, KEITETTY, SUOLATON
29511	JUURISELLERI, KEITETTY, SUOLATON
29682	SEITI, KEITETTY, SUOLATON
29683	KAMPELA, KEITETTY, SUOLATON
29684	TURSKA, KEITETTY, SUOLATON
29685	TÄYSMEHU, LUUMUTÄYSMEHU
29686	KALKKUNA, KEITETTY, SUOLATON
